sender,receiver,amount,timestamp,type,is_fraud
U786,U855,19431.8,2025-10-20 15:22:37,transfer,0
U94,U92,10541.93,2025-10-12 03:35:37,transfer,0
U357,U247,13707.21,2025-10-13 04:05:36,payment,0
U788,U670,15074.69,2025-10-10 13:03:07,payment,0
U399,U331,10802.86,2025-10-26 00:20:16,cash_in,0
U481,U633,14417.9,2025-10-16 04:41:44,payment,0
U978,U28,15131.79,2025-10-14 10:19:27,cash_in,0
U289,U416,10644.53,2025-10-11 20:55:34,transfer,0
U310,U336,7563.05,2025-10-22 01:46:03,cash_in,0
U651,U978,10753.66,2025-10-23 03:29:36,payment,0
U832,U962,18158.03,2025-10-03 07:36:56,cash_in,0
U441,U64,8872.94,2025-10-04 16:14:35,cash_in,0
U431,U987,11709.51,2025-10-10 04:22:28,transfer,0
U1,U14,10147.08,2025-10-22 14:59:53,transfer,1
U767,U593,19829.99,2025-10-08 23:35:43,cash_in,0
U399,U433,4971.58,2025-10-17 09:23:06,payment,0
U246,U97,16809.28,2025-10-29 14:29:54,payment,0
U234,U29,17019.87,2025-10-29 07:30:45,cash_in,0
U29,U722,14014.21,2025-10-28 13:21:42,payment,0
U366,U8,11321.58,2025-10-29 18:29:17,transfer,0
U94,U775,16914.49,2025-10-07 01:23:50,cash_in,0
U365,U279,5939.69,2025-10-04 06:14:58,transfer,0
U864,U504,17166.11,2025-10-05 18:25:53,transfer,0
U950,U982,6709.95,2025-10-15 19:51:23,cash_in,0
U389,U45,530.57,2025-10-25 15:49:42,transfer,0
U320,U198,19850.96,2025-10-02 20:22:32,payment,0
U452,U421,1694.33,2025-10-15 17:52:09,cash_in,0
U800,U185,6291.08,2025-10-27 14:49:37,transfer,0
U612,U261,12107.51,2025-10-14 14:24:55,cash_in,0
U371,U962,4514.59,2025-10-13 17:47:52,cash_in,0
U988,U898,13139.49,2025-10-14 14:57:17,cash_in,0
U253,U869,14114.26,2025-10-12 14:29:33,payment,0
U714,U964,2187.79,2025-10-29 07:34:55,cash_in,0
U945,U115,18244.51,2025-10-17 14:51:24,cash_in,0
U848,U770,10451.03,2025-10-12 14:40:21,transfer,0
U122,U560,2392.92,2025-10-12 11:13:02,transfer,0
U789,U639,5251.14,2025-10-27 15:57:10,transfer,0
U477,U672,18904.08,2025-10-04 05:35:31,cash_in,0
U880,U428,7329.85,2025-10-13 03:29:07,transfer,0
U362,U849,16868.16,2025-10-17 05:33:12,transfer,0
U156,U319,646.8,2025-10-26 20:42:12,transfer,0
U134,U536,12485.71,2025-10-04 04:25:53,payment,0
U760,U693,10206.06,2025-10-01 02:48:32,transfer,0
U33,U80,9064.94,2025-10-16 13:40:27,transfer,0
U999,U782,2806.84,2025-10-26 06:31:29,cash_in,0
U103,U888,7379.49,2025-10-03 11:04:49,transfer,0
U499,U880,4261.45,2025-10-27 15:40:59,transfer,0
U647,U539,5887.18,2025-10-26 11:58:40,payment,0
U456,U653,6090.17,2025-10-17 23:35:41,cash_in,0
U306,U13,14933.08,2025-10-29 12:22:37,payment,0
U49,U260,13168.32,2025-10-06 05:12:30,payment,0
U357,U305,10682.37,2025-10-04 07:07:54,cash_in,0
U233,U524,12961.92,2025-10-01 06:34:03,cash_in,0
U274,U743,15271.01,2025-10-25 06:52:04,transfer,0
U952,U111,10686.85,2025-10-27 17:29:07,payment,0
U751,U823,6711.61,2025-10-15 21:42:34,payment,0
U770,U958,19125.32,2025-10-06 05:23:05,cash_in,0
U618,U626,9755.04,2025-10-08 16:03:06,transfer,0
U168,U406,1710.02,2025-10-07 18:45:42,payment,0
U822,U979,273.47,2025-10-10 15:40:00,payment,0
U16,U368,15801.79,2025-10-12 13:12:37,payment,0
U849,U47,17492.78,2025-10-01 09:06:19,transfer,0
U153,U561,7993.13,2025-10-09 05:52:20,transfer,0
U350,U678,12124.89,2025-10-09 16:22:14,transfer,0
U838,U273,17278.73,2025-10-10 00:41:39,cash_in,0
U389,U931,3698.56,2025-10-12 17:02:36,cash_in,0
U425,U752,19737.39,2025-10-09 01:27:50,payment,0
U116,U837,10417.31,2025-10-06 01:26:05,transfer,0
U219,U445,18594.63,2025-10-16 22:48:14,payment,0
U191,U852,4677.15,2025-10-23 17:32:45,cash_in,0
U125,U251,14472.9,2025-10-03 01:14:21,payment,0
U423,U119,15782.81,2025-10-24 22:01:55,cash_in,0
U101,U743,13189.09,2025-10-27 17:42:37,transfer,0
U706,U80,3941.92,2025-10-14 07:30:14,transfer,0
U266,U135,9610.87,2025-10-22 00:10:18,transfer,0
U743,U92,6935.96,2025-10-26 09:21:51,transfer,0
U745,U110,6287.32,2025-10-11 23:45:59,transfer,0
U850,U954,3247.92,2025-10-18 17:11:04,cash_in,0
U287,U444,3331.87,2025-10-08 18:23:20,transfer,0
U918,U425,16983.1,2025-10-07 09:03:40,payment,0
U591,U969,10474.67,2025-10-26 22:56:45,cash_in,0
U277,U847,9634.64,2025-10-05 22:32:57,cash_in,0
U206,U923,2001.06,2025-10-20 06:21:31,cash_in,0
U563,U21,1149.69,2025-10-21 23:18:21,cash_in,0
U425,U807,3146.18,2025-10-04 12:15:26,cash_in,0
U715,U286,16746.73,2025-10-13 05:52:12,payment,0
U285,U87,18934.66,2025-10-01 10:04:34,transfer,0
U386,U532,10552.49,2025-10-11 02:17:57,transfer,0
U571,U863,5676.6,2025-10-26 14:58:52,transfer,0
U702,U939,18511.2,2025-10-13 05:20:50,payment,0
U588,U960,8393.0,2025-10-01 15:00:09,cash_in,0
U544,U804,10965.6,2025-10-01 15:29:03,transfer,0
U184,U942,3051.37,2025-10-26 12:40:54,payment,0
U569,U571,5500.3,2025-10-23 17:52:53,payment,0
U897,U583,14882.01,2025-10-13 02:20:13,cash_in,0
U294,U816,10490.34,2025-10-02 10:55:14,cash_in,0
U594,U574,856.44,2025-10-17 18:13:45,payment,0
U195,U274,309.96,2025-10-21 13:55:45,transfer,0
U524,U419,12666.23,2025-10-18 07:41:56,cash_in,0
U774,U692,10025.51,2025-10-21 03:49:44,transfer,0
U283,U320,6152.65,2025-10-03 13:04:47,transfer,0
U420,U353,7704.19,2025-10-11 02:46:13,cash_in,0
U809,U515,816.78,2025-10-24 10:30:44,cash_in,0
U695,U540,18971.4,2025-10-20 22:33:52,cash_in,0
U496,U165,19603.52,2025-10-18 21:59:08,payment,0
U75,U932,4232.7,2025-10-10 02:29:04,transfer,0
U747,U803,5493.82,2025-10-02 02:56:01,payment,0
U211,U400,13183.45,2025-10-03 13:07:41,cash_in,0
U205,U971,1996.53,2025-10-14 22:52:16,transfer,0
U412,U267,13906.5,2025-10-01 04:11:13,payment,0
U959,U596,19822.58,2025-10-11 08:11:47,cash_in,0
U648,U350,7933.34,2025-10-11 02:38:25,transfer,0
U368,U997,2858.65,2025-10-03 20:55:04,transfer,0
U91,U255,1804.05,2025-10-18 05:02:45,transfer,0
U568,U76,11964.35,2025-10-01 13:31:55,transfer,0
U975,U792,12562.7,2025-10-23 12:32:40,payment,0
U339,U855,6765.36,2025-10-24 06:12:05,cash_in,0
U458,U912,1577.37,2025-10-14 21:49:26,cash_in,0
U691,U188,8419.12,2025-10-18 03:25:02,cash_in,0
U249,U141,15942.54,2025-10-03 22:28:38,transfer,0
U437,U357,13801.59,2025-10-29 15:48:48,transfer,0
U595,U987,19671.18,2025-10-02 20:34:22,transfer,0
U432,U464,702.89,2025-10-23 10:33:07,transfer,0
U266,U397,12086.78,2025-10-24 18:47:03,transfer,0
U224,U671,7610.22,2025-10-01 13:52:59,payment,0
U420,U689,12608.29,2025-10-01 21:38:46,payment,0
U421,U937,13836.43,2025-10-14 14:57:43,payment,0
U147,U864,14789.19,2025-10-21 20:19:56,payment,0
U886,U393,12656.67,2025-10-27 08:31:38,payment,0
U711,U683,5170.43,2025-10-19 13:01:02,cash_in,0
U548,U899,17759.56,2025-10-03 21:24:01,cash_in,0
U551,U994,8932.52,2025-10-23 05:22:51,cash_in,0
U508,U557,11220.27,2025-10-11 00:13:50,payment,0
U755,U133,13072.21,2025-10-06 20:21:47,payment,0
U490,U508,12927.02,2025-10-22 01:30:01,transfer,0
U406,U562,19097.36,2025-10-19 04:02:20,payment,0
U477,U170,8298.34,2025-10-10 06:25:25,transfer,0
U213,U540,17208.8,2025-10-16 12:37:50,transfer,0
U483,U34,1030.73,2025-10-27 01:31:01,transfer,0
U609,U970,6892.89,2025-10-23 06:24:13,payment,0
U555,U962,13390.63,2025-10-08 23:10:07,transfer,0
U844,U427,15503.8,2025-10-22 04:34:51,cash_in,0
U845,U818,14324.03,2025-10-22 01:15:37,cash_in,0
U668,U915,798.65,2025-10-01 02:07:39,transfer,0
U410,U122,2199.22,2025-10-23 23:20:41,cash_in,0
U416,U742,4311.06,2025-10-06 04:50:52,cash_in,0
U839,U53,19216.31,2025-10-01 14:39:34,transfer,0
U16,U545,3638.68,2025-10-06 00:05:14,payment,0
U453,U422,16560.85,2025-10-10 01:25:23,payment,0
U700,U50,2027.25,2025-10-18 06:09:48,transfer,0
U813,U864,12609.03,2025-10-13 17:24:48,payment,0
U976,U413,383.76,2025-10-01 23:53:45,cash_in,0
U195,U904,4228.17,2025-10-04 23:24:25,payment,0
U186,U533,8396.91,2025-10-05 05:44:25,cash_in,0
U787,U20,6519.5,2025-10-29 23:35:41,transfer,0
U280,U182,2780.66,2025-10-28 07:05:30,cash_in,0
U268,U892,2735.73,2025-10-12 02:42:21,cash_in,0
U445,U281,3029.6,2025-10-04 19:11:35,transfer,0
U865,U646,3772.82,2025-10-20 09:16:20,transfer,0
U879,U716,17816.63,2025-10-15 18:33:53,payment,0
U809,U230,4999.09,2025-10-19 09:54:58,transfer,0
U174,U893,10509.49,2025-10-09 12:20:27,cash_in,0
U109,U450,5836.55,2025-10-08 09:44:48,transfer,0
U114,U979,15310.56,2025-10-18 18:14:04,cash_in,0
U940,U775,14139.48,2025-10-27 00:43:07,cash_in,0
U310,U557,12693.23,2025-10-20 07:36:35,transfer,0
U848,U581,1845.01,2025-10-23 04:36:07,transfer,0
U334,U470,10521.57,2025-10-23 09:04:12,transfer,0
U446,U355,18555.6,2025-10-23 17:23:04,transfer,0
U892,U361,19737.22,2025-10-02 15:23:16,cash_in,0
U906,U416,1266.67,2025-10-06 17:32:19,cash_in,0
U712,U729,2989.16,2025-10-11 11:28:45,cash_in,0
U893,U234,14537.23,2025-10-25 09:08:26,payment,0
U363,U870,3813.26,2025-10-23 07:35:03,cash_in,0
U689,U280,12372.57,2025-10-25 10:01:35,payment,0
U523,U778,5872.88,2025-10-09 09:33:06,cash_in,0
U982,U507,18265.44,2025-10-19 22:53:46,transfer,0
U199,U240,9194.27,2025-10-13 07:59:41,transfer,0
U927,U227,3284.35,2025-10-05 00:32:13,cash_in,0
U717,U551,3906.15,2025-10-21 06:30:36,payment,0
U603,U17,14611.13,2025-10-21 21:35:11,payment,0
U372,U273,3394.94,2025-10-22 00:16:26,transfer,0
U334,U318,7702.02,2025-10-10 07:41:39,cash_in,0
U21,U451,11972.25,2025-10-14 20:11:50,cash_in,0
U967,U707,6641.17,2025-10-04 05:52:00,payment,0
U381,U767,7750.96,2025-10-14 22:13:44,payment,0
U381,U33,14323.36,2025-10-05 23:05:02,cash_in,0
U435,U338,17210.84,2025-10-02 01:04:49,payment,0
U517,U5,12237.44,2025-10-27 17:36:24,cash_in,0
U669,U13,19585.26,2025-10-01 03:44:35,payment,0
U523,U153,15985.54,2025-10-28 07:58:41,payment,0
U802,U321,11138.56,2025-10-07 18:58:27,transfer,0
U523,U551,6480.73,2025-10-25 00:00:42,payment,0
U137,U359,14675.68,2025-10-08 20:46:16,payment,0
U858,U469,4614.57,2025-10-13 14:53:13,transfer,0
U683,U973,3797.59,2025-10-08 01:16:09,transfer,0
U411,U828,11862.13,2025-10-22 13:58:58,payment,0
U8,U320,11057.44,2025-10-16 15:39:09,cash_in,0
U580,U943,13451.41,2025-10-19 18:19:30,payment,0
U499,U127,743.44,2025-10-12 09:57:44,cash_in,0
U169,U723,9159.21,2025-10-10 06:51:11,transfer,0
U256,U617,9611.01,2025-10-20 02:49:19,cash_in,0
U946,U287,17287.47,2025-10-04 05:37:06,transfer,0
U17,U302,6022.57,2025-10-23 16:46:25,payment,0
U438,U415,15526.53,2025-10-19 11:10:04,payment,0
U625,U383,13197.33,2025-10-14 15:11:47,transfer,0
U381,U846,19586.09,2025-10-02 16:41:06,transfer,0
U609,U514,10293.24,2025-10-09 20:34:09,transfer,0
U711,U227,18092.11,2025-10-12 07:05:46,payment,0
U872,U725,4070.43,2025-10-15 12:32:25,transfer,0
U944,U202,3227.18,2025-10-03 23:29:59,cash_in,0
U212,U174,9232.87,2025-10-14 18:49:19,payment,0
U41,U158,17466.24,2025-10-10 04:55:47,transfer,0
U819,U400,9236.58,2025-10-12 05:23:05,transfer,0
U835,U839,10418.93,2025-10-17 20:42:42,cash_in,0
U538,U48,12169.75,2025-10-04 08:56:23,transfer,0
U197,U968,16193.59,2025-10-29 05:19:36,transfer,0
U618,U284,7121.9,2025-10-20 08:47:55,transfer,0
U588,U223,15432.05,2025-10-17 18:08:30,transfer,0
U645,U207,8562.02,2025-10-12 21:01:22,cash_in,0
U334,U482,3106.02,2025-10-27 21:44:01,transfer,0
U758,U468,1898.37,2025-10-27 20:34:13,transfer,0
U958,U653,19570.43,2025-10-24 08:30:13,payment,0
U431,U2,11732.8,2025-10-10 13:19:54,payment,0
U684,U5,9856.82,2025-10-13 22:23:49,payment,0
U445,U650,8593.9,2025-10-21 19:51:03,cash_in,0
U272,U146,13647.48,2025-10-11 11:33:53,cash_in,0
U431,U679,2028.59,2025-10-26 06:12:15,cash_in,0
U326,U590,19394.27,2025-10-15 02:08:11,payment,0
U362,U930,18208.61,2025-10-07 01:02:41,payment,0
U206,U205,5027.68,2025-10-12 02:31:51,transfer,0
U119,U511,10658.14,2025-10-09 07:44:10,cash_in,0
U23,U738,5125.33,2025-10-26 20:57:23,cash_in,0
U843,U852,6166.14,2025-10-13 17:44:06,transfer,0
U403,U87,18347.81,2025-10-25 13:47:26,cash_in,0
U421,U950,10927.86,2025-10-18 19:33:03,transfer,0
U436,U78,4615.89,2025-10-28 07:24:10,transfer,0
U15,U21,3384.51,2025-10-19 22:54:15,cash_in,0
U854,U107,12327.58,2025-10-22 18:35:10,payment,0
U107,U121,16429.55,2025-10-20 18:18:32,transfer,0
U140,U613,15375.81,2025-10-24 08:04:21,transfer,0
U968,U705,7317.91,2025-10-24 07:39:05,payment,0
U205,U402,8892.51,2025-10-25 14:12:14,payment,0
U612,U783,12912.32,2025-10-13 22:28:00,cash_in,0
U443,U201,9683.43,2025-10-20 23:49:54,payment,0
U312,U111,119.71,2025-10-14 12:48:38,cash_in,0
U963,U389,13549.59,2025-10-09 10:45:23,payment,0
U81,U33,5284.78,2025-10-11 20:12:57,transfer,0
U142,U622,5212.98,2025-10-14 22:14:43,cash_in,0
U299,U968,12635.05,2025-10-08 11:05:24,cash_in,0
U425,U890,381.31,2025-10-14 19:02:24,payment,0
U990,U660,5119.94,2025-10-20 04:14:08,transfer,0
U824,U326,5490.71,2025-10-21 10:29:11,cash_in,0
U550,U690,14569.09,2025-10-11 14:36:39,transfer,0
U126,U954,13190.48,2025-10-21 06:47:17,payment,0
U376,U325,11284.85,2025-10-27 04:05:20,transfer,0
U334,U971,950.1,2025-10-15 15:51:14,transfer,0
U837,U881,970.03,2025-10-02 21:33:20,transfer,0
U440,U857,16677.83,2025-10-06 10:18:48,cash_in,0
U388,U305,450.67,2025-10-23 14:34:28,transfer,0
U422,U908,12947.14,2025-10-23 17:35:36,payment,0
U269,U323,16271.83,2025-10-19 16:02:04,cash_in,0
U72,U98,1918.78,2025-10-03 04:48:38,payment,0
U182,U91,1644.75,2025-10-10 20:24:55,transfer,0
U517,U8,12312.71,2025-10-26 12:31:13,transfer,0
U192,U66,2360.94,2025-10-24 16:21:37,transfer,0
U856,U997,15865.91,2025-10-07 19:31:22,transfer,0
U152,U282,3594.44,2025-10-10 20:36:15,cash_in,0
U469,U450,6911.26,2025-10-15 05:54:19,cash_in,0
U753,U882,12165.45,2025-10-12 00:08:33,cash_in,0
U155,U97,7206.13,2025-10-05 06:41:34,cash_in,0
U528,U194,7943.76,2025-10-12 06:32:46,transfer,0
U972,U12,1727.19,2025-10-19 03:48:38,payment,0
U374,U690,5786.69,2025-10-01 22:37:05,transfer,0
U267,U528,18430.9,2025-10-06 00:41:59,cash_in,0
U787,U6,7027.19,2025-10-07 01:54:39,cash_in,0
